uuid,path,date,r,g,b
65573A9D-4280-471D-8D46-2DFC022972BA,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/6/65573A9D-4280-471D-8D46-2DFC022972BA.jpeg,2024-02-13 15:53:24.926000-10:00,200,196,192
CEE8B597-BFD0-440E-87B6-77C70A540A11,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/C/CEE8B597-BFD0-440E-87B6-77C70A540A11.jpeg,2024-02-13 19:53:13.951000-10:00,66,52,59
13AA7F73-C810-4674-B707-AF9A6862A239,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/1/13AA7F73-C810-4674-B707-AF9A6862A239.jpeg,2024-02-13 23:11:39.826000-10:00,123,107,92
6AC6BE77-2DDC-437E-9B5E-09DD5307003B,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/6/6AC6BE77-2DDC-437E-9B5E-09DD5307003B.jpeg,2024-02-14 11:42:59.069000-10:00,120,109,99
C559008A-043E-4847-BC1E-C91C22C5C97E,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/C/C559008A-043E-4847-BC1E-C91C22C5C97E.jpeg,2024-02-14 14:35:13.592000-10:00,145,134,129
B27D83BC-82F6-4297-BFDF-65E221364280,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/B/B27D83BC-82F6-4297-BFDF-65E221364280.jpeg,2024-02-22 11:40:12.870000-10:00,58,57,57
562C2A79-57E0-4DC7-A01E-0526C2406386,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/5/562C2A79-57E0-4DC7-A01E-0526C2406386.jpeg,2024-02-22 18:38:12.357000-10:00,190,181,184
72A316FE-E1F5-4558-919F-3AF763DB1919,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/7/72A316FE-E1F5-4558-919F-3AF763DB1919.jpeg,2024-02-22 18:38:13.457000-10:00,189,181,184
52891DF9-4658-4046-B071-98E8DE47F4D9,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/5/52891DF9-4658-4046-B071-98E8DE47F4D9.jpeg,2024-02-22 18:38:43.403000-10:00,201,199,195
7E6C6A49-402A-444E-8A94-0E7797A913D1,/Users/zachloo/Pictures/Photos Library.photoslibrary/originals/7/7E6C6A49-402A-444E-8A94-0E7797A913D1.jpeg,2024-02-23 23:25:48.259000-10:00,203,187,176
